"year","scouting_data","county","nearby_town","growth_stage","pest_pathogen","pest_pathogen_sp","severity","field_number"
2012,"08-Aug","Lebanon","","R5","Arachnid","Two spotted spider mite",2,1
2012,"08-Aug","Lebanon","","R4","Arachnid","Two spotted spider mite",2,2
2012,"19-Jul","Lebanon","","R2","Arachnid","Two spotted spider mite",2,1
2012,"19-Jul","Lebanon","","R1","Arachnid","Two spotted spider mite",4,2
2012,"11-Jul","Dauphin","","R5.5","Arachnid","Two spotted spider mite",1,1
2012,"27-Jul","Dauphin","","R3.5","Arachnid","Two spotted spider mite",3,1
2012,"25-Jul","Lebanon","","R4","Arachnid","Two spotted spider mite",3,1
2012,"25-Jul","Lebanon","","R3","Arachnid","Two spotted spider mite",1,2
2012,"01-Aug","Lebanon","","R4","Arachnid","Two spotted spider mite",4,1
2012,"01-Aug","Lebanon","","R3","Arachnid","Two spotted spider mite",3,2
2016,"02-Aug","Crawford","","R2","Arachnid","Two spotted spider mite",1,1
2016,"02-Aug","Erie","","R3","Arachnid","Two spotted spider mite",1,1
2016,"01-Aug","Mercer","","R4","Arachnid","Two spotted spider mite",1,1
2019,"03-Jul","Centre","","V2","Arachnid","Two spotted spider mite",1,1
2022,"26-Aug","Chester","Pottstown","R6","Arachnid","Two spotted spider mite",1,1
2021,"28-Jun","Lancaster","between Manhein and Lititz","R1","Arachnid","Two spotted spider mite",1,1
2023,"10-Sept","Potter","Genesee","R6","Arachnid","Two spotted spider mite",1,1
2023,"03-Sept","Potter","Genesee","R5","Arachnid","Two spotted spider mite",1,1
2023,"27-Aug","Potter","Genesee","R4","Arachnid","Two spotted spider mite",1,1
2023,"13-Aug","Potter","Genesee","R2-R3","Arachnid","Two spotted spider mite",1,1
2018,"23-Jul","Lancaster","Manheim","R3","Arachnid","Two spotted spider mite",2,1
2018,"20-Jul","Centre","","R1","Arachnid","Two spotted spider mite",1,1
2022,"19-Aug","Chester","South Pottstown","R4","Arachnid","Two spotted spider mite",1,1
2023,"13-Aug","Potter","Genesee","R2-R3","Arachnid","Two spotted spider mite",1,1
2021,"20-Jul","Lancaster","between Manheum and Lititz","R3","Arachnid","Two spotted spider mite",1,1
2016,"26-Jul","Mercer","","R3","Arachnid","Two spotted spider mite",1,1
2016,"01-Aug","Mercer","","R5-R6","Arachnid","Two spotted spider mite",1,1
2016,"23-Aug","Erie","","R5","Arachnid","Two spotted spider mite",1,1
2020,"31-Aug","Centre","","R6","Arachnid","Two spotted spider mite",2,1
2020,"12-Jul","Centre","","R2","Arachnid","Two spotted spider mite",1,1
2018,"13-Jul","Centre","","V5","Arachnid","Two spotted spider mite",1,1
2016,"15-Jul","Franklin","Greencastle","R1","Arachnid","Two spotted spider mite",1,1
2016,"09-Aug","Crawford","","R3","Arachnid","Two spotted spider mite",1,1
2016,"09-Aug","Erie","","R3","Arachnid","Two spotted spider mite",1,1
2016,"04-Aug","Franklin","Greencastle","R4-5","Arachnid","Two spotted spider mite",1,1
2018,"09-Jul","Centre","","V4","Arachnid","Two spotted spider mite",1,1
2021,"13-Jul","Bradford","Sheshequin","R1","Arachnid","Two spotted spider mite",1,1
2021,"13-Jul","Lancaster","","R2","Arachnid","Two spotted spider mite",1,1
