"Var1","Freq"
"Bean leaf beetle",1
"Black cutworm",1
"Blister beetle",1
"Brown marmorated stink bug",1
"Brown stink bug",1
"Corn rootworm",1
"Grasshopper",1
"Grasshopper beetle",1
"Green cloverworm",1
"Green marmoratted stink bug",1
"Green stink bug",1
"Japanese beetle",1
"Mexican bean beetle",1
"Potato leafhopper",1
"Red headed flea beetle",1
"Red shouldered stink bug",1
"Silver-spotted skipper caterpillar",1
"Soybean aphid",1
"Soybean leafminer",1
"Soybean looper",1
"Soybean stink bug",1
"Soybean thrips",1
"Spoted cucumber beetle",1
"Spotted cucumber beetle",1
"Tarnished plant bug",1
"Thistle caterpillar",1
"Thisttle caterpillar",1
"True armyworm",1
"Velvetbean caterpillar",1
"White flies",1
