"year","scouting_data","county","nearby_town","growth_stage","pest_pathogen","pest_pathogen_sp","severity","field_number"
2013,"30-Jul","Crawford","","R3","Mammal","Deer",1,1
2015,"31-Aug","Mercer","","R6","Mammal","Deer",1,1
2015,"31-Aug","Mercer","","R6","Mammal","Ground hog",1,1
2015,"31-Aug","Crawford","","R6","Mammal","Deer",1,1
2015,"31-Aug","Crawford","","R6","Mammal","Ground hog",1,1
2015,"14-Sept","Crawford","","R6-R7","Mammal","Deer",1,1
2015,"08-Sept","Mercer","","R6-R7","Mammal","Deer",1,1
2013,"19-Aug","Franklin","","R5","Mammal","Deer",1,1
2013,"19-Aug","Mercer","","R5","Mammal","Deer",1,1
2013,"12-Aug","Mercer","","R5","Mammal","Deer",1,1
2013,"05-Aug","Mercer","","R4","Mammal","Deer",1,1
2015,"14-Jul","Crawford","","V5-R2","Mammal","Groundhog",1,1
2015,"13-Jul","Mercer","","V5-R2","Mammal","Deer",1,1
2015,"13-Jul","Mercer","","V5-R2","Mammal","Groundhog",1,1
2015,"11-Jul","Mckean","","R1","Mammal","Deer",1,1
2015,"19-Jul","Mckean","","R1","Mammal","Deer",1,1
2015,"22-Jun","Bradford","Wyalusing","V2","Mammal","Deer",1,1
2015,"27-Jul","Mercer","Quarryville","R3-R4","Mammal","Deer",1,1
2015,"29-Jun","Crawford","","V3-V4","Mammal","Deer",1,1
2015,"29-Jun","Crawford","","V3-V4","Mammal","Groundhog",1,1
2015,"29-Jun","Mercer","","V4-V5","Mammal","Deer",1,1
2015,"29-Jun","Mercer","","V4-V5","Mammal","Groundhog",1,1
2015,"28-Jun","Mckean","","V5","Mammal","Deer",1,1
2015,"29-Jun","Crawford","","V3-V4","Mammal","Deer",1,1
2015,"29-Jun","Crawford","","V3-V4","Mammal","Groundhog",1,1
2015,"29-Jun","Mercer","","V4-V5","Mammal","Deer",1,1
2015,"29-Jun","Mercer","","V4-V5","Mammal","Groundhog",1,1
2015,"29-Jun","Crawford","","V3-V4","Mammal","Deer",1,1
2015,"29-Jun","Crawford","","V3-V4","Mammal","Groundhog",1,1
2015,"28-Jun","Mckean","","V5","Mammal","Deer",1,1
2015,"24-Aug","Mercer","","R6","Mammal","Deer",1,1
2015,"17-Aug","Mercer","","R5-R6","Mammal","Deer",1,1
2015,"17-Aug","Mercer","","R5-R6","Mammal","Groundhog",1,1
2020,"08-Sept","Beaver","Fombell","R6","Mammal","Deer",5,1
2021,"06-Jul","Beaver","Fombell","V5","Mammal","Deer",1,1
2022,"01-Jul","Beaver","Fombell","V3","Mammal","Deer",1,1
2022,"01-Jul","Berks","Brownsville","V2","Mammal","Deer",1,1
2022,"25-Aug","Beaver","Fombell","R5","Mammal","Deer",1,1
2021,"28-Jun","Schuylkill","","V3","Mammal","Deer",1,1
2023,"10-Sept","Cameron","Emporium","R6","Mammal","Deer",1,1
2023,"03-Sept","Cameron","Emporium","R5","Mammal","Deer",1,1
2022,"28-Jun","Potter","Ulysses","V4","Mammal","Deer",1,1
2021,"25-Jul","Potter","Ulysses","R1","Mammal","Deer",1,1
2021,"25-Jul","Potter","Genesee","R1","Mammal","Deer",1,1
2022,"25-Jul","Washington","Indepence","R2","Mammal","Deer",1,1
2023,"24-Jul","Dauphin","Fisherville","V3","Mammal","Deer",1,1
2023,"21-Jul","Northumberland","Riverside","R3","Mammal","Deer",1,1
2020,"24-Aug","Beaver","Fombell","R4","Mammal","Deer",1,1
2020,"24-Aug","Potter","Ulysses","R6","Mammal","Deer",1,1
2020,"24-Aug","Potter","Germania","R6","Mammal","Deer",1,1
2020,"24-Aug","Potter","Oswayo","R6","Mammal","Deer",1,1
2021,"22-Aug","Potter","Ulysses","R6","Mammal","Deer",1,1
2021,"22-Aug","Potter","Genesee","R6","Mammal","Deer",1,2
2022,"22-Aug","Potter","Ellisburg","R6","Mammal","Deer",1,1
2022,"22-Aug","Potter","Ulysses","R5","Mammal","Deer",1,1
2021,"21-Jun","Potter","Ulysses","V1","Mammal","Deer",3,1
2021,"21-Jun","Potter","Genesee","V1-V2","Mammal","Deer",3,1
2021,"21-Jun","Schuylkill","","V2-V3","Mammal","Deer",1,1
2023,"13-Aug","Potter","Ulysses","R3","Mammal","Deer",1,1
2020,"20-Jul","Beaver","Fombell","R1","Mammal","Deer",3,1
2020,"19-Jul","Potter","Oswayo","V6-R1","Mammal","Deer",1,1
2020,"19-Jul","Potter","Genesee","V6-R1","Mammal","Deer",1,1
2020,"19-Jul","Potter","Germania","V6-R1","Mammal","Deer",1,1
2020,"19-Jul","Potter","Ulysses","V6-R1","Mammal","Deer",1,1
2023,"19-Jun","Potter","Ulysses","V1","Mammal","Deer",1,1
2023,"19-Jun","Potter","Genesee","VC","Mammal","Deer",1,1
2021,"19-Jul","Potter","Ulysses","V5","Mammal","Deer",1,1
2021,"19-Jul","Potter","Genesee","R1","Mammal","Deer",1,1
2024,"20-Aug","Centre","Bellefonte","R6","Mammal","Deer",1,1
2024,"12-Aug","Cumberland","Newburg","R2","Mammal","Groundhog",4,1
2024,"12-Aug","Potter","Ulysses","R2-R4","Mammal","Deer",1,1
2024,"12-Aug","Potter","Gold","R2-R4","Mammal","Deer",1,1
2022,"01-Aug","Washington","Independence","R3","Mammal","Deer",1,1
2022,"01-Aug","Washington","Independence","R3","Mammal","Groundhog",1,1
2022,"01-Aug","Butler","Saxonburg","R2","Mammal","Deer",1,1
2022,"01-Aug","Butler","Saxonburg","R2","Mammal","Groundhog",1,1
2022,"27-Aug","Berks","Brownsville","R2","Mammal","Deer",1,1
2015,"04-Aug","Crawford","","R4-R5","Mammal","Deer",1,1
2015,"04-Aug","Crawford","","R4-R5","Mammal","Groundhog",1,1
2015,"03-Aug","Bradford","","R2-R3","Mammal","Deer",1,1
2015,"03-Aug","Mercer","","R4-R5","Mammal","Deer",1,1
2015,"03-Aug","Mercer","","R4-R5","Mammal","Groundhog",1,1
2017,"10-Jul","Perry","","V1-V2","Mammal","Deer",1,1
2024,"16-Sept","Somerset","Stoneycreek","R7","Mammal","Deer",1,1
2020,"31-Aug","Beaver","Fombell","R5","Mammal","Deer",1,1
2023,"14-Jul","Northumberland","Riverside","R3","Mammal","Deer",1,1
2023,"11-Jul","Greene","Dry Tavern","V4","Mammal","Deer",1,1
2023,"11-Jul","Fayette","Uniontown","R2","Mammal","Deer",1,1
2023,"11-Jul","Potter","Ulysses","V4","Mammal","Deer",1,2
2018,"12-Jun","Bradford","","VC","Mammal","Groundhog",1,1
2020,"14-Jul","Beaver","Fombell","R1","Mammal","Deer",1,1
2022,"10-Jun","Beaver","Fombell","VC","Mammal","Deer",1,1
2023,"09-Jun","Northumberland","Riverside","V3","Mammal","Deer",1,1
2021,"14-Jun","Potter","Ulysses","VC","Mammal","Deer",1,2
2021,"14-Jun","Potter","Genesee","V1","Mammal","Deer",1,2
2020,"14-Sept","Beaver","Fombell","R7","Mammal","Deer",1,1
2022,"12-Aug","Washington","Independence","R6","Mammal","Deer",1,1
2021,"15-Aug","Potter","Ulysses","R5","Mammal","Deer",NA,1
2021,"15-Aug","Potter","Genesee","R6","Mammal","Deer",NA,2
2020,"18-Aug","Beaver","Fombell","R4","Mammal","Deer",1,1
2020,"17-Aug","Potter","Oswayo","R5-R6","Mammal","Deer",1,1
2020,"17-Aug","Potter","Germania","R5-R6","Mammal","Deer",1,2
2023,"14-Jul","Northumberland","Riverside","R3","Mammal","Deer",1,1
2023,"11-Jul","Greene","Dry Tavern","V4","Mammal","Deer",1,1
2023,"11-Jul","Fayette","Uniontown","R2","Mammal","Deer",1,1
2023,"11-Jul","Fayette","Smithfield","V5","Mammal","Deer",1,2
2023,"11-Jul","Potter","Genesee","V3-V4","Mammal","Deer",1,1
2023,"11-Jul","Potter","Ulysses","V4","Mammal","Deer",1,2
2019,"17-Jun","Crawford","","V2","Mammal","Deer",1,1
2019,"17-Jun","Crawford","","V2","Mammal","Groundhog",1,1
2015,"06-Jul","Mckean","","V6","Mammal","Deer",1,1
2015,"06-Jul","Columbia","","V2","Mammal","Deer",1,1
2015,"06-Jul","Mercer","","V5-R1","Mammal","Deer",1,1
2015,"06-Jul","Mercer","","V5-R1","Mammal","Ground hog",1,1
2017,"14-Aug","Perry","","R3","Mammal","Deer",1,1
2024,"29-Aug","Centre","Bellefonte","R6","Mammal","Deer",1,1
2021,"13-Jul","Beaver","Fombell","R1","Mammal","Deer",1,1
