"year","scouting_data","county","nearby_town","growth_stage","pest_pathogen","pest_pathogen_sp","severity","field_number"
2013,"02-Jul","Crawford","","V3-V4","Pathogen","Bacterial blight",1,1
2013,"02-Jul","Crawford","","V3-V4","Pathogen","Septoria brown spot",1,1
2013,"01-Jul","Lancaster","","R1","Pathogen","Septoria brown spot",1,1
2013,"29-Jun","Franklin","","V4-V5","Pathogen","Septoria brown spot",1,1
2013,"28-Jun","Armstrong","","V6-V7","Pathogen","Bacterial blight",1,1
2013,"28-Jun","Armstrong","","V6-V7","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Lancaster","","R2","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Montgomery","","R1","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Franklin","","R2","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Mercer","","R1","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Armstrong","","R1","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Schuylkill","","R1","Pathogen","Frogeye leaf spot",1,1
2013,"15-Jul","Schuylkill","","R1","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Lebanon","","R1-R2","Pathogen","Frogeye leaf spot",3,1
2013,"12-Jul","Crawford","","R1-R2","Pathogen","Bacterial blight",1,1
2013,"12-Jul","Crawford","","R1-R2","Pathogen","Septoria brown spot",1,1
2013,"12-Jul","Crawford","","R1-R2","Pathogen","Frogeye leaf spot",1,1
2013,"08-Jul","Lancaster","","R1","Pathogen","Septoria brown spot",1,1
2013,"08-Jul","Armstrong","","R1","Pathogen","Bacterial blight",1,1
2013,"08-Jul","Armstrong","","R1","Pathogen","Septoria brown spot",1,1
2013,"08-Jul","Mercer","","R1","Pathogen","Septoria brown spot",1,1
2013,"08-Jul","Franklin","","V7-V8","Pathogen","Septoria brown spot",1,1
2013,"08-Jul","Franklin","","V7-V8","Pathogen","Downy mildew",1,1
2013,"08-Jul","Franklin","","V7-V8","Pathogen","Frogeye leaf spot",1,1
2013,"07-Jul","Dauphin","","R1","Pathogen","Septoria brown spot",1,1
2013,"03-Jul","Elk","","V3","Pathogen","Bacterial blight",1,1
2013,"03-Jul","Elk","","V3","Pathogen","Septoria brown spot",1,1
2013,"03-Jul","Mckean","","V3","Pathogen","Bacterial blight",1,1
2013,"03-Jul","Mckean","","V3","Pathogen","Septoria brown spot",1,1
2013,"03-Jul","Mckean","","V3","Pathogen","Frogeye leaf spot",1,1
2013,"22-Jul","York","","R1","Pathogen","Septoria brown spot",1,1
2013,"22-Jul","Franklin","","R2-R3","Pathogen","Septoria brown spot",1,1
2013,"22-Jul","Franklin","","R2-R3","Pathogen","Downy mildew",1,1
2013,"22-Jul","Lancaster","","R2","Pathogen","Septoria brown spot",1,1
2013,"22-Jul","Elk","","V6","Pathogen","Bacterial blight",1,1
2013,"22-Jul","Elk","","V6","Pathogen","Septoria brown spot",1,1
2013,"22-Jul","Mckean","","R1","Pathogen","Bacterial blight",1,1
2013,"22-Jul","Mckean","","R1","Pathogen","Septoria brown spot",3,1
2013,"21-Jul","Mercer","","R2","Pathogen","Septoria brown spot",1,1
2013,"19-Jul","Armstrong","","R2","Pathogen","Septoria brown spot",1,1
2013,"10-Jul","Elk","","R4","Pathogen","Bacterial blight",1,1
2013,"10-Jul","Elk","","R4","Pathogen","Septoria brown spot",1,1
2013,"10-Jul","Elk","","R4","Pathogen","Frogeye leaf spot",1,1
2013,"10-Jul","Mckean","","R1","Pathogen","Bacterial blight",1,1
2013,"10-Jul","Mckean","","R1","Pathogen","Septoria brown spot",2,1
2013,"30-Jul","Franklin","","R3","Pathogen","Septoria brown spot",1,1
2013,"30-Jul","Franklin","","R3","Pathogen","Downy mildew",1,1
2013,"29-Jul","Mercer","","R4","Pathogen","Septoria brown spot",1,1
2013,"29-Jul","Lancaster","","R3","Pathogen","Septoria brown spot",1,1
2013,"29-Jul","Elk","","V6","Pathogen","Septoria brown spot",1,1
2013,"29-Jul","Mckean","","R1","Pathogen","Bacterial blight",1,1
2013,"29-Jul","Mckean","","R1","Pathogen","Frogeye leaf spot",2,1
2013,"29-Jul","Mckean","","R1","Pathogen","Septoria brown spot",3,1
2013,"29-Jul","Schuylkill","","R3","Pathogen","Frogeye leaf spot",1,1
2013,"29-Jul","Schuylkill","","R3","Pathogen","Septoria brown spot",1,1
2013,"29-Jul","Montgomery","","R2","Pathogen","Frogeye leaf spot",1,1
2013,"29-Jul","Montgomery","","R2","Pathogen","Septoria brown spot",1,1
2013,"26-Jul","Armstrong","","R3","Pathogen","Septoria brown spot",1,1
2013,"25-Jul","Berks","","R2-R3","Pathogen","Frogeye leaf spot",1,1
2013,"25-Jul","Berks","","R2-R3","Pathogen","Phyllosticta leaf spot",1,1
2013,"25-Jul","York","","R1","Pathogen","Septoria brown spot",1,1
2012,"06-Sept","York","","R6","Pathogen","Soybean vein necrosis",2,1
2012,"06-Sept","York","","R6","Pathogen","Septoria brown spot",2,1
2012,"06-Sept","York","","R6","Pathogen","Cercospora leaf blight",2,1
2012,"31-Aug","Franklin","","R7","Pathogen","Downy mildew",1,1
2012,"31-Aug","Franklin","","R7","Pathogen","Septoria brown spot",1,1
2012,"31-Aug","Franklin","","R7","Pathogen","Soybean vein necrosis",1,1
2012,"31-Aug","Franklin","","R7","Pathogen","Frogeye leaf spot",1,1
2012,"31-Aug","Franklin","","R7","Pathogen","Cercospora leaf blight",1,1
2012,"10-Aug","York","","R5","Pathogen","Downy mildew",2,1
2012,"08-Aug","Lebanon","","R4","Pathogen","Phytophthora root and stem rot",3,2
2012,"12-Jul","Lebanon","","R1","Pathogen","Phytophthora root and stem rot",4,2
2012,"14-Sept","York","","R6-R7","Pathogen","Anthracnose stem blight",1,1
2012,"14-Sept","York","","R6-R7","Pathogen","Septoria brown spot",2,1
2012,"14-Sept","York","","R6-R7","Pathogen","Cercospora leaf blight",2,1
2012,"17-Aug","York","","R5.5","Pathogen","Downy mildew",2,1
2012,"17-Aug","York","","R5.5","Pathogen","Cercospora leaf blight",1,1
2012,"17-Aug","York","","R5.5","Pathogen","Septoria brown spot",1,1
2012,"13-Aug","Tioga","","R5","Pathogen","Septoria brown spot",3,2
2012,"23-Jul","York","","R2-R3","Pathogen","Downy mildew",1,1
2012,"19-Jul","Lebanon","","R1","Pathogen","Phytophthora root and stem rot",5,2
2012,"17-Jul","Tioga","","R1","Pathogen","Septoria brown spot",1,2
2012,"Aug-28","Lebanon","","R6","Pathogen","Frogeye leaf spot",1,1
2012,"24-Aug","York","","R5.5","Pathogen","Downy mildew",2,1
2012,"24-Aug","York","","R5.5","Pathogen","Cercospora leaf blight",1,1
2012,"24-Aug","York","","R5.5","Pathogen","Septoria brown spot",1,1
2012,"22-Aug","Montgomery","","-","Pathogen","Septoria brown spot",1,1
2012,"26-Jul","Franklin","","R4","Pathogen","Downy mildew",1,1
2012,"26-Jul","Franklin","","R4","Pathogen","Septoria brown spot",1,1
2012,"25-Jul","Lebanon","","R3","Pathogen","Phytophthora root and stem rot",5,2
2012,"03-Aug","Montgomery","","R3","Pathogen","Septoria brown spot",1,1
2012,"03-Aug","Franklin","","-","Pathogen","Downy mildew",1,1
2012,"03-Aug","Franklin","","-","Pathogen","Septoria brown spot",1,1
2012,"03-Aug","Franklin","","-","Pathogen","Soybean vein necrosis",1,1
2012,"02-Aug","York","","R3","Pathogen","Downy mildew",1,1
2012,"02-Aug","York","","R3","Pathogen","Septoria brown spot",1,1
2012,"01-Aug","Lebanon","","R3","Pathogen","Phytophthora root and stem rot",5,2
2015,"31-Aug","Berks","","R6","Pathogen","Frogeye leaf spot",2,1
2015,"31-Aug","Berks","","R5","Pathogen","Frogeye leaf spot",1,2
2015,"31-Aug","Crawford","","R6","Pathogen","Soybean bacterial pustule",2,1
2015,"31-Aug","York","","R6","Pathogen","Downy mildew",1,1
2015,"31-Aug","York","","R6","Pathogen","Septoria brown spot",1,1
2015,"31-Aug","Northumberland","","R6","Pathogen","Septoria brown spot",1,1
2015,"31-Aug","Union","","R6","Pathogen","Septoria brown spot",1,1
2015,"31-Aug","Union","","R6","Pathogen","Cercospora leaf blight",1,1
2015,"14-Sept","Crawford","","R6-R7","Pathogen","Septoria brown spot",3,1
2015,"14-Sept","Crawford","","R6-R7","Pathogen","Bacterial blight",1,1
2015,"08-Sept","Mercer","","R6-R7","Pathogen","Bacterial blight",1,1
2015,"03-Sept","Potter","","R6-R7","Pathogen","Frogeye leaf spot",3,1
2015,"03-Sept","Potter","","R6-R7","Pathogen","Septoria brown spot",1,1
2013,"10-Sept","Montgomery","","R6","Pathogen","Septoria brown spot",1,1
2013,"10-Sept","Montgomery","","R6","Pathogen","Frogeye leaf spot",1,1
2013,"10-Sept","Lancaster","","R6","Pathogen","Septoria brown spot",2,1
2013,"10-Sept","Lancaster","","R6","Pathogen","Downy mildew",2,1
2013,"10-Sept","York","","R6","Pathogen","Downy mildew",1,1
2013,"10-Sept","York","","R6","Pathogen","Target spot",1,1
2013,"09-Sept","Armstrong","","R6","Pathogen","Frogeye leaf spot",1,1
2013,"09-Sept","Armstrong","","R6","Pathogen","Septoria brown spot",1,1
2013,"09-Sept","Armstrong","","R6","Pathogen","White mold",1,1
2013,"09-Sept","Mercer","","R6","Pathogen","Downy mildew",1,1
2013,"09-Sept","Mercer","","R6","Pathogen","Bacterial blight",1,1
2013,"09-Sept","Mercer","","R6","Pathogen","Septoria brown spot",2,1
2013,"15-Jul","Lancaster","","R2","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Montgomery","","R1","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Franklin","","R2","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Mercer","","R1","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Armstrong","","R1","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Schuylkill","","R1","Pathogen","Frogeye leaf spot",1,1
2013,"15-Jul","Schuylkill","","R1","Pathogen","Septoria brown spot",1,1
2013,"12-Jul","Crawford","","R1-R2","Pathogen","Bacterial blight",1,1
2013,"12-Jul","Crawford","","R1-R2","Pathogen","Septoria brown spot",1,1
2013,"12-Jul","Crawford","","R1-R2","Pathogen","Cercospora leaf blight",1,1
2013,"08-Jul","Lancaster","","R1","Pathogen","Septoria brown spot",1,1
2013,"14-Sept","Armstrong","","R7","Pathogen","Downy mildew",1,1
2013,"14-Sept","Armstrong","","R7","Pathogen","Frogeye leaf spot",1,1
2013,"14-Sept","Armstrong","","R7","Pathogen","Septoria brown spot",1,1
2013,"14-Sept","Armstrong","","R7","Pathogen","White mold",2,1
2013,"14-Sept","Elk","","R6","Pathogen","Septoria brown spot",3,1
2013,"13-Sept","York","","R6","Pathogen","Downy mildew",1,1
2013,"13-Sept","York","","R6","Pathogen","Target spot",1,1
2013,"11-Sept","Mckean","","R6","Pathogen","Frogeye leaf spot",2,1
2013,"20-Aug","Schuylkill","","R5-R6","Pathogen","Septoria brown spot",1,1
2013,"20-Aug","Schuylkill","","R5-R6","Pathogen","Frogeye leaf spot",2,1
2013,"19-Aug","Mckean","","R4","Pathogen","Septoria brown spot",1,1
2013,"19-Aug","Mckean","","R4","Pathogen","Downy mildew",3,1
2013,"19-Aug","Elk","","R4","Pathogen","Septoria brown spot",1,1
2013,"19-Aug","Elk","","R4","Pathogen","Downy mildew",2,1
2013,"19-Aug","Armstrong","","R6","Pathogen","Septoria brown spot",1,1
2013,"19-Aug","Armstrong","","R6","Pathogen","White mold",2,1
2013,"19-Aug","Armstrong","","R6","Pathogen","Downy mildew",1,1
2013,"18-Aug","Dauphin","","R5-R6","Pathogen","Downy mildew",1,1
2013,"16-Aug","York","","R5","Pathogen","Downy mildew",1,1
2013,"27-Aug","Lancaster","","R5.8","Pathogen","Septoria brown spot",2,1
2013,"27-Aug","Lancaster","","R5.8","Pathogen","Downy mildew",2,1
2013,"26-Aug","Armstrong","","R6","Pathogen","Downy mildew",1,1
2013,"26-Aug","Armstrong","","R6","Pathogen","Septoria brown spot",1,1
2013,"26-Aug","Armstrong","","R6","Pathogen","White mold",2,1
2013,"23-Aug","Mckean","","R3","Pathogen","Downy mildew",2,1
2013,"21-Aug","Elk","","R3","Pathogen","Downy mildew",2,1
2013,"03-Sept","Schuylkill","","R6","Pathogen","Septoria brown spot",1,1
2013,"03-Sept","Schuylkill","","R6","Pathogen","Frogeye leaf spot",2,1
2013,"03-Sept","Mckean","","R5","Pathogen","Frogeye leaf spot",2,1
2013,"03-Sept","Mercer","","R6","Pathogen","Bacterial blight",1,1
2013,"03-Sept","Mercer","","R6","Pathogen","Septoria brown spot",2,1
2013,"29-Aug","York","","R5","Pathogen","Downy mildew",1,1
2013,"06-Aug","Lancaster","","R4","Pathogen","Septoria brown spot",1,1
2013,"06-Aug","Montgomery","","R4-R5","Pathogen","Septoria brown spot",1,1
2013,"06-Aug","Montgomery","","R4-R5","Pathogen","Downy mildew",1,1
