"year","scouting_data","county","nearby_town","growth_stage","pest_pathogen","pest_pathogen_sp","severity","field_number"
2013,"02-Jul","Montgomery","","V3-V4","Slug","Slug",1,1
2013,"01-Jul","Lancaster","","R1","Slug","Slug",1,1
2013,"01-Jul","Mercer","","V11","Slug","Slug",1,1
2013,"15-Jul","Mercer","","R1","Slug","Slug",1,1
2013,"08-Jul","Lancaster","","R1","Slug","Slug",1,1
2013,"08-Jul","Mercer","","R1","Slug","Slug",1,1
2013,"03-Jul","Elk","","V3","Slug","Slug",1,1
2013,"03-Jul","Mckean","","V3","Slug","Slug",1,1
2013,"22-Jul","Elk","","V6","Slug","Slug",1,1
2013,"22-Jul","Mckean","","R1","Slug","Slug",1,1
2013,"10-Jul","Elk","","R4","Slug","Slug",1,1
2013,"10-Jul","Mckean","","R1","Slug","Slug",1,1
2013,"18-Jun","Montgomery","","V1-V2","Slug","Slug",5,1
2013,"14-Jun","Lancaster","","V4","Slug","Slug",4,1
2013,"14-Jun","Lebanon","","V1-V3","Slug","Slug",1,1
2013,"24-Jun","Lancaster","","V5-V6","Slug","Slug",1,1
2013,"24-Jun","Elk","","V3","Slug","Slug",1,1
2013,"24-Jun","Mckean","","V3","Slug","Slug",1,1
2013,"18-Jun","Lebanon","","V2-V3","Slug","Slug",2,1
2013,"17-Jun","Mckean","","V2","Slug","Slug",1,1
2013,"18-Jun","Montgomery","","V1-V2","Slug","Slug",5,1
2013,"14-Jun","Lancaster","","V4","Slug","Slug",4,1
2013,"15-Jul","Mercer","","R1","Slug","Slug",1,1
2013,"08-Jul","Lancaster","","R1","Slug","Slug",1,1
2014,"08-Aug","Potter","","R3","Slug","Slug",2,1
2014,"08-Aug","Elk","","R3","Slug","Slug",2,1
2014,"14-Jul","Mckean","","R1","Slug","Slug",1,1
2014,"14-Jul","Elk","","V5","Slug","Slug",1,1
2014,"11-Jul","Potter","","V3","Slug","Slug",1,1
2014,"07-Jul","Mckean","","V5","Slug","Slug",1,1
2014,"07-Jul","Elk","","V4","Slug","Slug",1,1
2014,"16-Jul","Crawford","","VC","Slug","Slug",1,1
2014,"21-Jul","Mckean","","R2","Slug","Slug",1,1
2014,"24-Jul","Crawford","","V2","Slug","Slug",1,1
2014,"23-Jun","Northumberland","","V2","Slug","Slug",2,1
2014,"23-Jun","Union","","V1","Slug","Slug",2,1
2014,"23-Jun","Elk","","V1","Slug","Slug",1,1
2014,"07-Jul","Columbia","","V4","Slug","Slug",2,1
2014,"07-Jul","Union","","V5","Slug","Slug",2,1
2014,"01-Jul","Crawford","","V3","Slug","Slug",1,1
2014,"30-Jun","Columbia","","V2","Slug","Slug",2,1
2014,"30-Jun","Northumberland","","V3","Slug","Slug",2,1
2014,"30-Jun","Union","","V3","Slug","Slug",2,1
2014,"30-Jun","Huntingdon","","V4","Slug","Slug",1,1
2014,"25-Jun","Huntingdon","","V3","Slug","Slug",1,1
2014,"10-Jun","Armstrong","","V1","Slug","Slug",1,1
2014,"02-Jun","Armstrong","","VC","Slug","Slug",1,1
2015,"14-Jul","Montgomery","","R2","Slug","Slug",1,1
2015,"14-Jul","Crawford","","V5-R2","Slug","Slug",1,1
2015,"13-Jul","Lancaster","Mt. Joy","R2","Slug","Slug",1,1
2015,"13-Jul","Lancaster","Quarryville","R1","Slug","Slug",1,1
2015,"13-Jul","Mercer","","V5-R2","Slug","Slug",1,1
2015,"11-Jul","Mckean","","R1","Slug","Slug",1,1
2015,"11-Jul","Elk","","V4","Slug","Slug",1,1
2015,"15-Jun","Lancaster","Mt. Joy","V5","Slug","Slug",1.5,1
2015,"15-Jun","Schuylkill","","V2","Slug","Slug",1,1
2015,"15-Jun","Union","","VC","Slug","Slug",1,1
2015,"20-Jul","Crawford","","R1","Slug","Slug",1,1
2015,"20-Jul","Mercer","","R2","Slug","Slug",1,1
2015,"19-Jul","Mckean","","R1","Slug","Slug",1,1
2015,"19-Jul","Elk","","R1","Slug","Slug",1,1
2015,"22-Jul","Schuylkill","Ringtown","V4","Slug","Slug",1,1
2015,"22-Jun","Union","","V2","Slug","Slug",2,1
2015,"22-Jun","Bradford","Wyalusing","V2","Slug","Slug",1,1
2015,"22-Jun","Montgomery","","V5-V6","Slug","Slug",1,1
2015,"22-Jun","Lancaster","","V5","Slug","Slug",1,1
2015,"19-Jun","Tioga","","V4-V5","Slug","Slug",1,2
