"year","scouting_data","county","nearby_town","growth_stage","pest_pathogen","pest_pathogen_sp","severity","field_number"
2013,"02-Jul","Montgomery","","V3-V4","Insect","Grasshopper",1,1
2013,"02-Jul","Montgomery","","V3-V4","Insect","Japanese beetle",1,1
2013,"02-Jul","Montgomery","","V3-V4","Slug","Slug",1,1
2013,"02-Jul","Crawford","","V3-V4","Insect","Bean leaf beetle",1,1
2013,"02-Jul","Crawford","","V3-V4","Pathogen","Bacterial leaf blight",1,1
2013,"02-Jul","Crawford","","V3-V4","Pathogen","septoria brown spot",1,1
2013,"01-Jul","Schuylkill","","V4","Insect","Bean leaf beetle",1,1
2013,"01-Jul","Schuylkill","","V4","Insect","Green cloverworm",1,1
2013,"01-Jul","Schuylkill","","V4","Insect","Silver spotted skipper",1,1
2013,"01-Jul","Schuylkill","","V4","Insect","Japanese beetle",1,1
2013,"01-Jul","Lancaster","","R1","Slug","Slug",1,1
2013,"01-Jul","Lancaster","","R1","Pathogen","Septoria brown spot",1,1
2013,"01-Jul","Mercer","","V11","Insect","Potato leafhopper",1,1
2013,"01-Jul","Mercer","","V11","Insect","Soybean aphid",1,1
2013,"01-Jul","Mercer","","V11","Slug","Slug",1,1
2013,"29-Jun","Franklin","","V4-V5","Insect","Bean leaf beetle",1,1
2013,"29-Jun","Franklin","","V4-V5","Insect","Grasshopper",1,1
2013,"29-Jun","Franklin","","V4-V5","Insect","Green cloverworm",1,1
2013,"29-Jun","Franklin","","V4-V5","Pathogen","Septoria brown spot",1,1
2013,"28-Jun","Armstrong","","V6-V7","Insect","Bean leaf beetle",1,1
2013,"28-Jun","Armstrong","","V6-V7","Insect","Japanese beetle",1,1
2013,"28-Jun","Armstrong","","V6-V7","Pathogen","Bacterial leaf blight",1,1
2013,"28-Jun","Armstrong","","V6-V7","Pathogen","Septoria brown spot",1,1
2013,"28-Jun","Lebanon","","V6-R1","Insect","Bean leaf beetle",1,1
2013,"28-Jun","Lebanon","","V6-R1","Insect","Grasshopper",1,1
2013,"15-Jul","Lancaster","","R2","Insect","Japanese beetle",1,1
2013,"15-Jul","Lancaster","","R2","Insect","Grasshopper",1,1
2013,"15-Jul","Lancaster","","R2","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Montgomery","","R1","Insect","Grasshopper",1,1
2013,"15-Jul","Montgomery","","R1","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Franklin","","R2","Insect","Bean leaf beetle",1,1
2013,"15-Jul","Franklin","","R2","Insect","Japanese beetle",1,1
2013,"15-Jul","Franklin","","R2","Insect","Grasshopper",1,1
2013,"15-Jul","Franklin","","R2","Pathogen","Septoria brown spot",1,1
2013,"15-Jul","Berks","","R1","Insect","Grasshopper",1,1
2013,"15-Jul","Berks","","R1","Insect","Japanese beetle",2,1
2013,"15-Jul","Berks","","R1","Insect","Potato leafhopper",1,1
2013,"15-Jul","Berks","","R1","Insect","Bean leaf beetle",1,1
2013,"15-Jul","Mercer","","R1","Insect","Grasshopper",1,1
